-0.25,-0.2,-0.15,-0.1,-0.05,0.0,0.05,0.1,0.15,0.2,0.25,0.3,0.35,symbol,settle_date,-0.3
,0.0177,0.0121,0.0068,0.0027,0.0,-0.0007,0.001,0.0024,0.0064,0.0156,0.0276,,NGF13,20121030,
,0.0196,0.0103,0.0055,0.0012,0.0,-0.0019,,0.0021,0.0071,0.0133,0.0194,,NGF13,20121031,
,0.0124,0.004,0.0023,0.0006,0.0,-0.0009,0.0008,0.0043,0.0089,0.016,0.0258,,NGF13,20121101,
,,0.0068,0.0032,0.0014,0.0,0.0019,0.0049,0.0093,0.0143,0.0213,0.0297,0.0418,NGF13,20121102,
,,0.0067,0.0016,0.0006,0.0,0.0009,0.0031,0.0059,0.014,0.0242,0.0362,0.0453,NGF13,20121105,
,,0.0094,0.0026,0.0006,0.0,0.0016,0.0027,0.0082,0.0145,0.0222,0.0307,,NGF13,20121106,
,,0.0075,0.004,0.0007,0.0,0.0018,0.0038,0.0073,0.0119,0.0228,0.0286,,NGF13,20121107,
,,0.0102,0.0049,0.0006,0.0,0.0012,0.0017,0.0056,0.009,0.0202,0.0317,,NGF13,20121108,
,,0.0055,0.001,0.0006,0.0,0.0038,0.0056,0.0107,0.0181,0.0255,0.0355,0.0473,NGF13,20121109,
,,0.0008,-0.0014,-0.0026,0.0,0.0002,0.0022,0.008,0.0155,0.0226,0.0282,0.0406,NGF13,20121112,
,0.0081,0.0003,-0.0001,-0.0011,0.0,0.0016,0.0046,0.0062,0.0146,0.0206,,,NGF13,20121113,
,0.011,0.0061,0.0022,0.0022,0.0,0.002,0.0033,0.0052,0.0121,0.0222,,,NGF13,20121114,
,0.0119,0.0026,0.0012,0.0007,0.0,0.0014,0.0024,0.0062,0.0132,0.0201,0.0264,,NGF13,20121115,
,0.0146,,-0.0007,-0.0012,0.0,0.0025,0.006,0.0109,0.0178,0.0255,,,NGF13,20121116,
,0.012,0.003,-0.0026,-0.0013,0.0,0.003,0.0077,0.0126,0.0203,0.0248,0.0381,,NGF13,20121119,
,0.0055,0.0054,-0.0029,-0.0033,0.0,0.0027,0.0082,0.0153,0.0218,0.0279,,,NGF13,20121120,
0.0362,0.0138,-0.0004,-0.0027,-0.0028,0.0,0.0035,0.0074,0.0118,0.0202,,,,NGF13,20121121,
0.0589,0.0129,0.0052,0.0008,-0.0012,0.0,0.0026,0.0036,0.0082,0.0191,,,,NGF13,20121123,
,0.0347,0.0173,0.0086,0.0034,0.0,0.0003,0.0014,0.009,0.0176,0.0268,,,NGF13,20121126,
,0.0388,0.0127,0.0092,0.0028,0.0,-0.0002,-0.0004,0.0034,0.0132,0.02,,,NGF13,20121127,
,0.0403,0.0112,0.0053,0.0007,0.0,0.002,0.0054,0.0103,0.0189,0.0309,0.0336,,NGF13,20121128,
0.0336,0.0221,0.0081,0.0033,0.0016,0.0,0.0049,0.0104,0.0175,0.0271,0.0386,0.0507,,NGF14,20131030,0.0426
0.0281,0.0251,0.0102,0.0013,-0.0005,0.0,0.0047,0.01,0.0182,0.0281,0.0409,0.051,0.0618,NGF14,20131031,0.0542
